id,interval,travel_time
1_W_SL,0,65.75
1_W_SL,1,57.157407407407405
1_W_SL,2,62.55555555555556
1_W_SL,3,60.31730769230769
1_W_SL,4,61.913978494623656
1_N_SL,0,50.470588235294116
1_N_SL,1,43.25714285714286
1_N_SL,2,48.16
1_N_SL,3,49.26315789473684
1_N_SL,4,59.25806451612903
1_E_SL,0,74.47115384615384
1_E_SL,1,80.49333333333334
1_E_SL,2,62.42857142857143
1_E_SL,3,64.27710843373494
1_E_SL,4,72.11904761904762
1_S_SL,0,58.130434782608695
1_S_SL,1,46.57692307692308
1_S_SL,2,45.791666666666664
1_S_SL,3,41.125
1_S_SL,4,37.05263157894737
1_E_O,0,13.857142857142858
1_E_O,1,13.475409836065573
1_E_O,2,11.131868131868131
1_E_O,3,11.939024390243903
1_E_O,4,13.573333333333334
1_S_O,0,6.315789473684211
1_S_O,1,7.513513513513513
1_S_O,2,7.129032258064516
1_S_O,3,7.542857142857143
1_S_O,4,7.758620689655173
1_N_O,0,6.291666666666667
1_N_O,1,4.777777777777778
1_N_O,2,6.191489361702128
1_N_O,3,5.34375
1_N_O,4,5.681818181818182
2_W_SL,0,50.31111111111111
2_W_SL,1,42.68518518518518
2_W_SL,2,54.375
2_W_SL,3,47.425925925925924
2_W_SL,4,46.67391304347826
2_E_SL,0,23.841798952380955
2_E_SL,1,31.955999920000004
2_E_SL,2,20.72683980519481
2_E_SL,3,31.610648124999997
2_E_SL,4,30.157870361111108
2_S_SL,0,36.41379310344828
2_S_SL,1,24.980392156862745
2_S_SL,2,40.58064516129032
2_S_SL,3,29.27027027027027
2_S_SL,4,30.795454545454547
2_N_O,0,7.787234042553192
2_N_O,1,5.627906976744186
2_N_O,2,5.8108108108108105
2_N_O,3,5.9999999999999964
2_N_O,4,6.061224489795919
3_W_SL,0,24.707916675
3_W_SL,1,31.33033708988764
3_W_SL,2,49.122489939759035
3_W_SL,3,43.92209743820225
3_W_SL,4,37.34798536263736
3_N_SL,0,60.64705882352941
3_N_SL,1,35.03703703703704
3_N_SL,2,51.52
3_N_SL,3,51.86363636363637
3_N_SL,4,80.53333333333333
3_E_SL,0,76.1969696969697
3_E_SL,1,53.77777777777778
3_E_SL,2,78.9381443298969
3_E_SL,3,64.0
3_E_SL,4,56.93877551020408
3_S_SL,0,45.470588235294116
3_S_SL,1,42.21052631578947
3_S_SL,2,48.111111111111114
3_S_SL,3,75.65
3_S_SL,4,62.91304347826087
3_S_O,0,6.5
3_S_O,1,7.285714285714284
3_S_O,2,6.6875
3_S_O,3,11.171428571428569
3_S_O,4,11.323529411764707
3_N_O,0,6.0
3_N_O,1,6.769230769230769
3_N_O,2,5.882352941176471
3_N_O,3,4.764705882352945
3_N_O,4,9.166666666666666
3_W_O,0,11.731707317073171
3_W_O,1,13.565217391304348
3_W_O,2,12.951219512195122
3_W_O,3,12.173913043478258
3_W_O,4,10.962962962962964
