id,interval,speed
1_W_SL,0,7.788764227642277
1_W_SL,1,8.019774231678486
1_W_SL,2,7.768166099773243
1_W_SL,3,7.688622329059829
1_W_SL,4,6.9453808641975305
1_N_SL,0,4.260837418300654
1_N_SL,1,3.9594453124999998
1_N_SL,2,3.5102487373737365
1_N_SL,3,3.7912286324786324
1_N_SL,4,4.1017738095238085
1_E_SL,0,6.565373015873015
1_E_SL,1,6.1331581541218645
1_E_SL,2,7.074336805555555
1_E_SL,3,5.686859126984126
1_E_SL,4,6.577886605783866
1_S_SL,0,5.396193236714976
1_S_SL,1,5.9943027777777775
1_S_SL,2,5.30039619883041
1_S_SL,3,5.785320105820105
1_S_SL,4,5.816737179487178
2_W_SL,0,7.493749572649573
2_W_SL,1,7.980812499999998
2_W_SL,2,7.216686574074074
2_W_SL,3,7.1945912162162164
2_W_SL,4,7.485896892655367
2_E_SL,0,7.295334401709402
2_E_SL,1,6.273297101449275
2_E_SL,2,6.504907894736842
2_E_SL,3,6.9361178160919525
2_E_SL,4,6.781177083333333
2_S_SL,0,6.245527777777777
2_S_SL,1,6.367022079772078
2_S_SL,2,5.991209401709402
2_S_SL,3,6.0483297101449285
2_S_SL,4,6.36300173611111
3_W_SL,0,6.269237804684497
3_W_SL,1,6.233661031348258
3_W_SL,2,5.57570183591369
3_W_SL,3,5.980387258983526
3_W_SL,4,5.897439645997724
3_N_SL,0,8.978883333333332
3_N_SL,1,8.632810185185186
3_N_SL,2,6.909957407407408
3_N_SL,3,6.373119658119658
3_N_SL,4,7.923648148148146
3_E_SL,0,5.414530864197531
3_E_SL,1,5.090172672672672
3_E_SL,2,6.207588050314466
3_E_SL,3,6.439556944444444
3_E_SL,4,5.950606060606061
3_S_SL,0,6.468831349206349
3_S_SL,1,4.319305555555555
3_S_SL,2,5.759151041666667
3_S_SL,3,5.548164682539683
3_S_SL,4,4.032551851851852
