id,interval,max_queue_num,max_queue_len,mean_queue_num,mean_queue_len
NBT,0,3,25.67809647070469,0.34594594594594597,2.676624794089535
NBT,1,2,11.992005165623048,0.6162162162162163,3.2643987781531734
NBT,2,1,5.97497331411853,0.4594594594594595,2.644583308377479
NBT,3,3,20.919968569902185,0.5621621621621622,3.051728523336854
NBT,0,5,45.79220701522376,1.1513513513513514,9.088418856330629
NBT,1,1,5.230140180174488,0.6810810810810811,3.50882056949158
NBT,2,3,23.70069209454664,1.054054054054054,7.571719650266395
NBT,3,3,25.409875923551763,0.7837837837837838,4.897255373904891
NBT,0,6,48.850402846363046,1.3297297297297297,9.790962991703855
NBT,1,2,14.514397372094535,0.9783783783783784,6.297122845988702
NBT,2,3,25.03944258513209,1.372972972972973,10.019925429873961
NBT,3,3,23.82116304874552,0.42702702702702705,3.069102817444642
NBL,0,7,51.36253309305524,5.3297297297297295,40.070942611764146
NBL,1,7,48.15507483971698,2.7243243243243245,17.861943386086505
NBL,2,5,44.113152092087134,0.7783783783783784,5.93593394401643
NBL,3,6,48.3126956219188,1.7135135135135136,12.55853114186173
NBL,0,7,51.83918007518766,4.908108108108108,36.544257104593584
NBL,1,6,46.17762944630636,2.843243243243243,21.33507841915091
NBL,2,6,49.38866988970546,2.372972972972973,17.79403881028007
NBL,3,5,39.939800296746995,2.2216216216216216,15.62247741113941
SBT,0,5,48.54816728170398,2.2324324324324323,22.540651373315974
SBT,1,5,48.673711774570236,1.9081081081081082,16.529840308118256
SBT,2,5,43.03793889138107,2.281081081081081,19.142831489508946
SBT,3,6,48.33616992544916,3.2,24.77081715771217
SBT,0,6,51.15566081101368,2.6054054054054054,20.047123595475497
SBT,1,6,48.38399878100385,2.135135135135135,17.02854141928258
SBT,2,6,48.33646282444843,2.443243243243243,19.148963660652303
SBT,3,5,39.92384573737311,2.156756756756757,14.966516364290996
SBT,0,6,47.999627963688205,2.075675675675676,20.772099786125764
SBT,1,5,48.041695708023276,1.3837837837837839,14.104206530722985
SBT,2,3,33.48670074180154,0.9405405405405406,10.635799688669437
SBT,3,4,45.980511257146276,2.1135135135135137,23.106875817296164
SBL,0,3,20.487105433882196,0.15135135135135136,0.8302425516697004
SBL,1,1,5.0902146435568545,0.005405405405405406,0.02751467374895597
SBL,2,0,0.0,0.0,0.0
SBL,3,2,13.126866864291523,1.2,7.180372094398999
SBL,0,5,46.70627111048452,2.4864864864864864,24.38771759199136
SBL,1,4,47.00067796020402,1.0972972972972972,6.8827044220793905
SBL,2,3,22.596096407348664,1.0162162162162163,5.857872203577991
SBL,3,3,22.6325637100187,1.135135135135135,7.340307176914156
